Gene_ID	Annotation
C1G03000.1	GO:0009507
C1G03010.1	GO:0005886
C1G03030.1	GO:0005737
C1G03030.1	GO:0009507
C1G03040.1	GO:0005634
C1G03050.1	GO:0005634
C1G03055.1	GO:0005634
C1G03060.1	GO:0005634
C1G03080.1	GO:0005886
C1G03090.2	GO:0022626
C1G03090.2	GO:0005739
C1G03090.2	GO:0022626
C1G03090.2	GO:0022626
C1G03090.2	GO:0005739
C1G03090.2	GO:0022626
C1G03100.1	GO:0005739
C1G03103.1	GO:0005886
C1G03106.1	GO:0005739
C1G03110.1	GO:0005737
C1G03120.1	GO:0005737
C1G03130.1	GO:0009579
C1G03130.1	GO:0009535
C1G03130.1	GO:0009941
C1G03130.1	GO:0009534
C1G03130.1	GO:0009941
C1G03130.1	GO:0009941
C1G03130.1	GO:0009535
C1G03130.1	GO:0009579
C1G03130.1	GO:0009507
C1G03130.1	GO:0009941
C1G03130.1	GO:0009535
C1G03130.1	GO:0009535
C1G03130.1	GO:0009507
C1G03130.1	GO:0009535
C1G03130.1	GO:0009941
C1G03130.1	GO:0009534
C1G03130.1	GO:0009535
C1G03130.1	GO:0009535
C1G03130.1	GO:0016020
C1G03130.1	GO:0009534
C1G03130.1	GO:0009534
C1G03130.1	GO:0009535
C1G03130.1	GO:0009941
C1G03130.1	GO:0009941
C1G03130.1	GO:0009535
C1G03130.1	GO:0009941
C1G03130.1	GO:0009535
C1G03140.1	GO:0005634
C1G03160.1	GO:0009507
C1G03170.1	GO:0005634
C1G03180.1	GO:0005634
C1G03190.1	GO:0005634
C1G03210.1	GO:0005634
C1G03220.1	GO:0005618
C1G03220.1	GO:0009505
C1G03220.1	GO:0005618
C1G03220.1	GO:0005576
C1G03220.1	GO:0005794
C1G03220.1	GO:0016020
C1G03220.1	GO:0009651
C1G03220.1	GO:0009651
C1G03220.1	GO:0009506
C1G03230.1	GO:0009651
C1G03230.1	GO:0009505
C1G03230.1	GO:0005794
C1G03230.1	GO:0009651
C1G03230.1	GO:0005576
C1G03230.1	GO:0005618
C1G03250.2	GO:0005634
C1G03260.1	GO:0005829
C1G03260.1	GO:0005886
C1G03270.1	GO:0005886
C1G03280.1	GO:0005634
C1G03290.1	GO:0005576
C1G03300.1	GO:0005634
C1G03310.2	GO:0009507
C1G03310.2	GO:0009507
C1G03320.1	GO:0005634
C1G03330.1	GO:0005829
C1G03330.1	GO:0005634
C1G03340.1	GO:0005739
C1G03350.1	GO:0005737
C1G03365.1	GO:0005634
C1G03370.1	GO:0005634
C1G03390.1	GO:0005737
C1G03400.1	GO:0005737
C1G03410.1	GO:0005737
C1G03440.1	GO:0005739
C1G03445.1	GO:0005634
C1G03470.1	GO:0005634
C1G03475.1	GO:0009570
C1G03475.1	GO:0009570
C1G03475.1	GO:0009570
C1G03475.1	GO:0009570
C1G03475.1	GO:0009570
C1G03475.1	GO:0009507
C1G03475.1	GO:0009570
C1G03475.1	GO:0009507
C1G03475.1	GO:0009507
C1G03475.1	GO:0009570
C1G03475.1	GO:0009570
C1G03475.1	GO:0009570
C1G03475.1	GO:0009570
C1G03475.1	GO:0048046
C1G03475.1	GO:0009570
C1G03475.1	GO:0009570
C1G03495.1	GO:0005737
C1G03510.1	GO:0005739
C1G03520.1	GO:0005794
C1G03530.1	GO:0009506
C1G03530.1	GO:0005634
